emp_id,hours_no,rate,att_date,EntryTime,ExitTime,AttdStatus
18,8,1,7/8/2018,12:09,,1
18,8,1,7/9/2018,15:14,,1
18,8,1,7/10/2018,11:01,,1
18,8,1,7/11/2018,,,4
18,8,1,7/12/2018,,,4
18,8,1,7/14/2018,,,4
18,8,1,7/15/2018,11:19,12:52,1
18,8,1,7/16/2018,,,4
18,8,1,7/17/2018,,,4
18,8,1,7/18/2018,,,4
18,8,1,7/19/2018,,,4
18,8,1,7/21/2018,14:27,,1
18,8,1,7/22/2018,15:23,,1
18,8,1,7/23/2018,10:35,,1
18,8,1,7/24/2018,10:59,,1
18,8,1,7/25/2018,,,4
18,8,1,7/26/2018,10:23,,1
18,8,1,7/28/2018,,,4
18,8,1,7/29/2018,,,4
18,8,1,7/30/2018,,,4
18,8,1,7/31/2018,,,4
19,8,1,7/1/2018,,,4
19,8,1,7/2/2018,,,4
19,8,1,7/3/2018,,,4
19,8,1,7/4/2018,,,4
19,8,1,7/5/2018,,,4
19,8,1,7/7/2018,,,4
19,8,1,7/8/2018,,,4
19,8,1,7/9/2018,,,4
19,8,1,7/10/2018,,,4
19,8,1,7/11/2018,,,4
19,8,1,7/12/2018,,,4
19,8,1,7/14/2018,,,4
19,8,1,7/15/2018,,,4
19,8,1,7/16/2018,,,4
19,8,1,7/17/2018,,,4
19,8,1,7/18/2018,,,4
19,8,1,7/19/2018,,,4
19,8,1,7/21/2018,,,4
19,8,1,7/22/2018,,,4
19,8,1,7/23/2018,,,4
19,8,1,7/24/2018,,,4
19,8,1,7/25/2018,,,4
19,8,1,7/26/2018,,,4
19,8,1,7/28/2018,,,4
19,8,1,7/29/2018,,,4
19,8,1,7/30/2018,,,4
19,8,1,7/31/2018,,,4
20,8,1,7/1/2018,9:22,,1
20,8,1,7/2/2018,9:31,,1
20,8,1,7/3/2018,10:06,,1
20,8,1,7/4/2018,9:14,,1
20,8,1,7/5/2018,9:04,,1
20,8,1,7/7/2018,,,4
20,8,1,7/8/2018,,,4
20,8,1,7/9/2018,,,4
20,8,1,7/10/2018,,,4
20,8,1,7/11/2018,,,4
20,8,1,7/12/2018,,,4
20,8,1,7/14/2018,12:46,,1
20,8,1,7/15/2018,8:21,,1
20,8,1,7/16/2018,9:14,,1
20,8,1,7/17/2018,8:50,19:50,1
20,8,1,7/18/2018,8:28,,1
20,8,1,7/19/2018,9:09,,1
20,8,1,7/21/2018,8:34,,1
20,8,1,7/22/2018,9:17,9:17,1
20,8,1,7/23/2018,9:35,,1
20,8,1,7/24/2018,9:43,,1
20,8,1,7/25/2018,8:38,20:39,1
20,8,1,7/26/2018,9:10,20:43,1
20,8,1,7/27/2018,11:45,,1
20,8,1,7/28/2018,,,4
20,8,1,7/29/2018,8:45,,1
20,8,1,7/30/2018,9:29,19:48,1
20,8,1,7/31/2018,8:41,21:19,1
21,8,1,7/1/2018,9:04,,1
21,8,1,7/2/2018,9:23,,1
21,8,1,7/3/2018,9:17,,1
21,8,1,7/4/2018,9:28,,1
21,8,1,7/5/2018,9:21,,1
21,8,1,7/7/2018,,,4
21,8,1,7/8/2018,,,4
21,8,1,7/9/2018,,,4
21,8,1,7/10/2018,,,4
21,8,1,7/11/2018,,,4
21,8,1,7/12/2018,,,4
21,8,1,7/14/2018,,,4
21,8,1,7/15/2018,,,4
21,8,1,7/16/2018,,,4
21,8,1,7/17/2018,,,4
21,8,1,7/18/2018,,,4
21,8,1,7/19/2018,,,4
21,8,1,7/21/2018,,,4
21,8,1,7/22/2018,,,4
21,8,1,7/23/2018,13:52,,1
21,8,1,7/24/2018,9:19,,1
21,8,1,7/25/2018,10:22,,1
21,8,1,7/26/2018,11:10,18:46,1
21,8,1,7/28/2018,9:27,,1
21,8,1,7/29/2018,9:23,23:06,1
21,8,1,7/30/2018,9:29,,1
21,8,1,7/31/2018,9:22,,1
22,8,1,7/1/2018,,,4
22,8,1,7/2/2018,,,4
22,8,1,7/3/2018,,,4
22,8,1,7/4/2018,9:50,,1
22,8,1,7/5/2018,,,4
22,8,1,7/7/2018,,,4
22,8,1,7/8/2018,9:35,,1
22,8,1,7/9/2018,,,4
22,8,1,7/10/2018,,,4
22,8,1,7/11/2018,,,4
22,8,1,7/12/2018,,,4
22,8,1,7/14/2018,,,4
22,8,1,7/15/2018,,,4
22,8,1,7/16/2018,,,4
22,8,1,7/17/2018,,,4
22,8,1,7/18/2018,,,4
22,8,1,7/19/2018,,,4
22,8,1,7/21/2018,,,4
22,8,1,7/22/2018,,,4
22,8,1,7/23/2018,,,4
22,8,1,7/24/2018,,,4
22,8,1,7/25/2018,,,4
22,8,1,7/26/2018,,,4
22,8,1,7/28/2018,,,4
22,8,1,7/29/2018,,,4
22,8,1,7/30/2018,,,4
22,8,1,7/31/2018,,,4
